ID_mother,m_rec_meth,m_study1_part,m_part_round,m_partner_completed,partner_ID_mother,m_study2_survey,m_fWHR_ben,m_fWHR_mad,m_expression_not_neutral,m_angled_face,m_obstructed_face,m_useable_for_ratings,m_photo_resubmission,m_sex,m_ethnicity,m_nationality,m_age,m_age_first_bio_child,m_sex_first_bio_child,m_num_bio_child,m_has_adopted_child,m_ppp_adjusted_income_usd,m_ISCO.08_code,m_ISEI.08_occ_status,m_SSS,m_SR_dom_cheng,m_PR_dom_cheng,m_SR_pres_cheng,m_PR_pres_cheng,m_SAT,m_IPIP_dom,m_intra_comp,m_ind_agg_full,m_ind_agg_soc_excl,m_ind_agg_mal_hum,m_ind_agg_guilt,m_photo_method,m_facial_dominance,m_facial_masculinityfemininity,m_facial_attractiveness,m_fWHR,ID_father,f_rec_meth,f_study1_part,f_part_round,f_partner_completed,f_study2_survey,f_fWHR_ben,f_fWHR_mad,f_expression_not_neutral,f_angled_face,f_obstructed_face,f_useable_for_ratings,f_photo_resubmission,f_sex,f_ethnicity,f_nationality,f_age,f_age_first_bio_child,f_sex_first_bio_child,f_num_bio_child,f_has_adopted_child,f_ppp_adjusted_income_usd,f_ISCO.08_code,f_ISEI.08_occ_status,f_SSS,f_SR_dom_cheng,f_PR_dom_cheng,f_SR_pres_cheng,f_PR_pres_cheng,f_SAT,f_IPIP_dom,f_intra_comp,f_ind_agg_full,f_ind_agg_soc_excl,f_ind_agg_mal_hum,f_ind_agg_guilt,f_photo_method,f_facial_dominance,f_facial_masculinityfemininity,f_facial_attractiveness,f_fWHR,shared_child_sex,shared_child_age
969830339,prolific,2,2,1,7859118350,2,1.658,1.643,neutral,0,0,1,had_resubmission,female,South Asian,United States,35,4,male,1,no,NA,3512,62.45,84,3.375,2.111111111,5.333333333,5.888888889,0,39,2.916666667,34,12,12,10,phone,3.216216216,2.513513514,3.648648649,1.6505,7859118350,prolific,2,1,1,1,1.588,1.569,neutral,0,0,1,had_resubmission,male,South Asian,United States,34,4,male,1,no,110000,2512,74.66,70,4,3.333333333,5.777777778,5.444444444,4,17,2.916667,25,10,9,6,phone,3.907894737,5.407894737,2.894736842,1.5785,1,4
1072182365,prolific,3,1,1,1335596349,4,1.695,1.643,neutral,0,0,1,had_resubmission,female,White/Caucasian,New Zealand,28,1,female,1,no,38434.66108,2221,68.7,77,4.625,4.111111111,5.777777778,6.111111111,5,27,2.833333333,30,11,11,8,phone,4.5,3.5,3.105263158,1.669,1335596349,prolific,2,2,1,1,2,2.038,not_neutral,0,0,1,no_resubmission,male,White/Caucasian,New Zealand,29,1,female,1,no,69881.20196,3131,46.73,75,5.125,1.444444444,5,6.222222222,7,40,4.416666667,68,25,27,16,phone,3.45,4.625,4,2.019,0,1
1185772361,prolific,2,5,1,6441430019,NA,1.529,1.539,not_neutral,0,0,1,no_resubmission,female,White/Caucasian,United States,41,9,male,1,no,70000,2265,65.23,72,1.875,3.222222222,6.666666667,6.222222222,7,11,2.75,25,10,9,6,phone,4.070422535,2.464788732,3.070422535,1.534,6441430019,prolific,3,2,1,NA,1.505,1.543,neutral,0,0,1,no_resubmission,male,White/Caucasian,United States,42,9,male,1,no,170000,2144,77.1,70,2.625,1.555555556,6.333333333,6.888888889,6,18,3.5,28,10,10,8,phone,4.315789474,5.447368421,2.842105263,1.524,1,9
1325976745,prolific,2,1,1,268579509,4,1.355,1.385,neutral,0,0,1,no_resubmission,female,White/Caucasian,Italy,35,3,female,2,no,NA,2643,80.92,52,1.75,1.111111111,4,4.333333333,1,29,2.583333333,26,10,10,6,phone,3.368421053,3.421052632,2.578947368,1.37,268579509,prolific,2,2,1,3,NA,NA,neutral,1,0,1,no_resubmission,male,White/Caucasian,Italy,38,1,female,2,no,NA,1420,51.56,61,2.25,2.444444444,6,6.111111111,4,29,1.666666667,26,10,9,7,phone,3.621621622,5.243243243,3.27027027,NA,0,3
1392501734,prolific,2,1,1,3256912847,2,1.631,1.575,neutral,0,0,1,no_resubmission,female,South Asian,South Africa,37,2,female,1,no,14349.26101,1412,43.85,63,3.375,2.111111111,5.777777778,5.666666667,0,38,1.166666667,42,15,12,15,computer,3.756756757,4.621621622,2.324324324,1.603,3256912847,prolific,2,1,1,3,NA,NA,neutral,0,1,1,no_resubmission,male,White/Caucasian,South Africa,35,2,female,1,no,51657.33965,1412,43.85,77,3.25,4.555555556,6,5.111111111,3,28,2.833333,28,10,10,8,computer,4.243243243,5.405405405,2.648648649,NA,0,2
1396317797,prolific,2,1,1,2547063585,2,1.697,1.685,neutral,0,0,1,no_resubmission,female,Mixed,South Africa,30,2,female,2,no,50222.41355,2622,70.4,60,3.75,3.333333333,5.222222222,6.444444444,3,41,1.166666667,34,10,15,9,phone,2.837837838,3,2.945945946,1.691,2547063585,prolific,3,1,1,3,1.693,1.673,neutral,0,0,1,had_resubmission,male,Mixed,South Africa,29,2,female,2,no,28698.52203,2611,86.72,50,3.5,3.333333333,5.888888889,5.222222222,4,35,1.166666667,31,10,13,8,computer,5.054054054,5.810810811,3.567567568,1.683,0,2
1418866722,prolific,2,5,1,3274916060,NA,NA,NA,neutral,0,1,1,no_resubmission,female,Black/African_American,South Africa,30,4,female,1,no,34438.22643,NA,NA,40,1.5,1.444444444,6.444444444,6.888888889,9,22,1.166666667,25,10,9,6,phone,4.281690141,1.830985915,4.704225352,NA,3274916060,prolific,3,2,1,NA,2.01,2.11,not_neutral,0,0,1,no_resubmission,male,African,South Africa,33,6,male,2,no,51657.33965,2263,75.43,70,2.75,2.111111111,7,6.777777778,8,14,2.333333333,25,10,9,6,phone,3.407894737,5.210526316,2.921052632,2.06,NA,NA
1604635967,prolific,2,2,1,7108322479,2,1.615,1.577,neutral,0,0,1,no_resubmission,female,White/Caucasian,Spain,34,4,female,1,no,NA,2330,82.41,51,2.75,1.888888889,4.222222222,3.111111111,1,12,1,25,10,9,6,phone,3.216216216,2.162162162,4.108108108,1.596,7108322479,prolific,3,1,1,3,NA,NA,neutral,0,1,1,had_resubmission,male,White/Caucasian,Spain,34,4,male,2,no,50590.21922,2341,76.49,69,1.875,2.333333333,4.222222222,4.888888889,1,17,1.166666667,25,10,9,6,computer,4.648648649,5.648648649,3.405405405,NA,NA,NA
1838379932,prolific,2,2,1,2144061070,2,1.493,1.49,neutral,0,0,1,no_resubmission,female,White/Caucasian,Spain,36,2,male,2,no,64080.94435,3312,59.76,55,3.25,2.555555556,4.666666667,4.666666667,1,28,3.333333333,28,13,9,6,phone,3.459459459,2.945945946,3.081081081,1.4915,2144061070,prolific,3,1,1,3,1.716,1.692,not_neutral,0,0,1,no_resubmission,male,Latino/Hispanic,Spain,37,2,male,2,no,NA,4214,50.05,50,2.25,2.111111111,5.111111111,4.888888889,0,19,1,25,10,9,6,phone,3.864864865,5.513513514,3.702702703,1.704,1,2
1915787586,prolific,2,2,1,6330982308,2,1.782,1.794,neutral,0,0,1,no_resubmission,female,African,South Africa,23,3,male,1,no,0,NA,NA,53,3,2.777777778,4.111111111,5,1,28,1.666666667,34,14,11,9,phone,3.648648649,2.675675676,3.621621622,1.788,6330982308,prolific,3,1,1,3,1.976,1.958,not_neutral,0,0,1,no_resubmission,male,African,South Africa,30,4,male,1,no,5022.241355,2521,75.13,55,2.875,2.333333333,5.777777778,5.777777778,1,28,2,38,13,10,15,phone,3.432432432,4.648648649,2.918918919,1.967,1,3
2069202667,prolific,3,2,1,3743828590,NA,1.685,1.706,neutral,0,0,1,no_resubmission,female,White/Caucasian,United States,31,7,female,3,no,48000,1420,51.56,48,1.875,2.111111111,4.777777778,5.888888889,3,25,1.833333333,26,10,10,6,phone,3.690140845,4.154929577,2.633802817,1.6955,3743828590,prolific,2,5,1,NA,1.864,1.921,neutral,0,0,1,no_resubmission,male,White/Caucasian,United States,47,7,female,3,no,99000,3123,37.83,60,3.25,2.777777778,6,6.111111111,2,31,1.25,27,10,9,8,phone,5,6.197368421,2.434210526,1.8925,0,7
2085488518,prolific,3,1,1,7355820859,4,NA,NA,neutral,0,1,1,no_resubmission,female,White/Caucasian,United Kingdom,37,5,male,3,no,37425.1497,2341,76.49,50,2.375,1.444444444,4.555555556,5.555555556,0,17,2.416666667,30,12,10,8,phone,4.684210526,3.131578947,2.736842105,NA,7355820859,prolific,2,1,1,3,1.599,1.665,neutral,0,0,1,no_resubmission,male,White/Caucasian,United Kingdom,38,5,male,3,no,71856.28743,5412,51.5,46,2.625,2.444444444,5.222222222,5.222222222,0,28,2.666667,32,12,10,10,phone,5.432432432,6.081081081,3.216216216,1.632,1,5
2318265829,prolific,2,2,1,4539692540,2,1.936,1.979,neutral,0,0,1,no_resubmission,female,African,South Africa,26,1,male,1,no,0,2263,75.43,49,3.125,3.888888889,5.333333333,6.666666667,0,30,1.583333333,31,12,11,8,phone,3.675675676,2.378378378,3.648648649,1.9575,4539692540,prolific,3,1,1,3,1.559,1.54,neutral,0,0,1,no_resubmission,male,African,South Africa,27,1,male,1,no,57397.04405,2512,74.66,50,3.625,2.333333333,6.555555556,7,5,26,1.916666667,27,11,9,7,phone,4.702702703,4.702702703,3.972972973,1.5495,1,1
2318962880,prolific,2,2,1,988147431,2,1.564,1.592,neutral,0,0,1,had_resubmission,female,White/Caucasian,South Africa,31,7,female,2,no,1578.418711,1212,74.79,50,4.25,2.777777778,4.666666667,2.777777778,4,27,2.166666667,45,21,10,14,phone,3.081081081,2.891891892,3.027027027,1.578,988147431,prolific,3,1,1,3,1.564,1.573,neutral,0,0,1,no_resubmission,male,White/Caucasian,South Africa,32,7,female,2,no,4304.778304,7222,33.16,72,4.875,4,6.222222222,5.222222222,4,35,1.333333333,37,14,12,11,phone,4.297297297,5.837837838,2.513513514,1.5685,0,7
2568723515,prolific,3,1,1,8149927697,4,1.815,1.835,neutral,0,0,1,no_resubmission,female,Black/African_American,South Africa,29,6,male,3,no,43047.78304,4416,42.3,56,3.125,1.888888889,6.777777778,6.666666667,2,40,2.166666667,29,10,9,10,phone,3.552631579,3,3.736842105,1.825,8149927697,prolific,2,1,1,1,1.623,1.644,neutral,0,0,1,had_resubmission,male,Black/British,South Africa,41,6,male,3,no,4304.778304,8343,24.8,58,2.625,2.666666667,6.888888889,6.666666667,6,16,1.166667,30,11,10,9,phone,4.6,5.7,2.925,1.6335,1,6
2677153403,prolific,2,5,1,5588972499,NA,1.603,1.604,not_neutral,0,0,1,had_resubmission,female,White/Caucasian,United Kingdom,33,1,male,1,no,NA,NA,NA,50,4,3.111111111,5.111111111,5.111111111,0,20,2.333333333,28,11,9,8,phone,3.535211268,2.690140845,4.183098592,1.6035,5588972499,prolific,3,2,1,NA,1.912,1.9,not_neutral,0,0,1,no_resubmission,male,White/Caucasian,United Kingdom,32,1,male,1,no,NA,2144,77.1,50,3.5,2.888888889,5,5.111111111,2,36,1.333333333,26,10,9,7,phone,4.171052632,5.407894737,3.592105263,1.906,1,1
3069212723,prolific,2,2,1,8959524778,2,1.668,1.648,neutral,0,0,1,no_resubmission,female,White/Caucasian,United Kingdom,36,1,male,1,no,53892.21557,2422,72.94,56,2.625,4.111111111,6.111111111,5,1,33,2.083333333,27,10,9,8,phone,3.621621622,2.837837838,2.72972973,1.658,8959524778,prolific,2,1,1,1,1.677,1.702,neutral,0,0,1,no_resubmission,male,White/Caucasian,United Kingdom,41,1,male,1,no,59880.23952,2330,82.41,51,1.75,1.444444444,4.888888889,6.444444444,0,24,3,29,12,9,8,phone,4,5.225,2.15,1.6895,1,1
3087205377,prolific,2,2,1,534936450,2,1.729,1.71,neutral,0,0,1,had_resubmission,female,Mixed,Portugal,35,3,male,2,no,NA,NA,NA,35,3.875,2.555555556,4,4.333333333,0,25,1.25,31,12,11,8,phone,4.405405405,3.432432432,2.810810811,1.7195,534936450,prolific,3,1,1,1,1.649,1.662,neutral,0,0,1,no_resubmission,male,White/Caucasian,Portugal,37,3,male,2,no,27472.52747,4412,27.52,37,2.875,4.444444444,4.333333333,4.555555556,2,26,1.333333333,26,11,9,6,phone,4.525,5.7,2.675,1.6555,1,3
3101039076,prolific,3,2,1,3920423784,NA,1.728,1.743,neutral,0,0,1,had_resubmission,female,Black/British,United Kingdom,30,1,male,1,no,68113.77246,2635,70.5,53,2.75,1.777777778,6.222222222,3.888888889,5,28,1.583333333,31,11,11,9,phone,4.084507042,3.802816901,2.774647887,1.7355,3920423784,prolific,2,5,1,NA,1.69,1.701,neutral,0,0,1,no_resubmission,male,African,United Kingdom,30,1,male,1,no,92065.86826,3333,60.44,36,1.75,2.111111111,3.888888889,6.111111111,4,25,1.416666667,25,10,9,6,phone,5.131578947,5.776315789,4.078947368,1.6955,1,1
3373404729,prolific,2,2,1,4439898628,4,2.106,2.09,not_neutral,0,0,1,no_resubmission,female,East Asian,Canada,38,2,female,2,no,40650.4065,2412,75.5,65,1.375,1,5.666666667,6,0,22,1.583333333,25,10,9,6,phone,3.052631579,2.605263158,4.315789474,2.098,4439898628,prolific,2,1,1,1,1.448,1.524,neutral,0,0,1,no_resubmission,male,East Asian,Canada,42,2,female,2,no,117886.1789,1330,78.86,75,1.625,1.111111111,6,6.444444444,2,19,1.833333,25,10,9,6,phone,2.825,4.375,2.225,1.486,0,2
3451115835,prolific,3,2,1,1536629773,NA,1.557,1.494,neutral,0,0,1,no_resubmission,female,White/Caucasian,United Kingdom,36,5,male,1,no,49401.1976,4222,39.02,45,2.25,1.555555556,4.555555556,5.555555556,3,30,2,33,10,16,7,phone,3.267605634,3.492957746,2.774647887,1.5255,1536629773,prolific,2,5,1,NA,1.64,1.67,neutral,0,0,1,no_resubmission,male,White/Caucasian,United Kingdom,38,5,male,1,no,32934.13174,3342,57.99,50,2.625,3.111111111,4.333333333,5.222222222,2,35,3.333333333,35,12,14,9,phone,4.302631579,5.381578947,2.460526316,1.655,1,5
3505286760,prolific,2,2,1,1343005622,2,1.609,1.587,not_neutral,0,0,1,no_resubmission,female,Middle Eastern,Canada,36,5,male,1,no,NA,1221,71.39,70,2.75,3.111111111,5.444444444,5.222222222,1,21,3.583333333,29,11,9,9,phone,3.702702703,2.243243243,3.648648649,1.598,1343005622,prolific,3,1,1,3,NA,NA,neutral,0,1,1,no_resubmission,male,Middle Eastern,Canada,40,5,male,1,no,97560.97561,1211,73.38,67,4.875,4.111111111,4.555555556,4.222222222,0,38,4.25,47,20,12,15,computer,3.810810811,5.324324324,2.378378378,NA,1,5
3727258316,prolific,3,2,1,9710437743,NA,1.58,1.502,neutral,0,0,1,no_resubmission,female,White/Caucasian,Netherlands,34,4,female,2,no,28720.62663,NA,NA,50,1.875,3,4.555555556,4.666666667,3,28,3.333333333,35,15,10,10,computer,3.774647887,2.802816901,3.704225352,1.541,9710437743,prolific,2,5,1,NA,NA,NA,neutral,0,1,1,no_resubmission,male,East Asian,Netherlands,36,4,female,2,no,26109.66057,NA,NA,50,3.5,2.222222222,5.222222222,4.888888889,2,26,2.666666667,29,11,10,8,computer,4.25,4.815789474,3.026315789,NA,0,4
3735431249,prolific,2,1,1,501402840,2,1.694,1.747,neutral,0,0,1,no_resubmission,female,African,United Kingdom,32,5,male,2,no,194610.7784,3353,54.27,60,3.125,0.888888889,4.777777778,6.333333333,2,17,2,25,10,9,6,phone,4.486486486,2.72972973,3.351351351,1.7205,501402840,prolific,3,1,1,3,1.554,1.545,neutral,0,0,1,no_resubmission,male,White/Caucasian,United Kingdom,34,5,male,2,no,68862.27545,2529,75.13,51,2.5,2.888888889,5.444444444,4.222222222,2,16,2,25,10,9,6,phone,4.648648649,5.648648649,4.432432432,1.5495,1,5
3982866110,prolific,3,2,1,210053111,NA,1.72,1.652,neutral,0,0,1,had_resubmission,female,White/Caucasian,United Kingdom,33,7,female,2,no,NA,3341,62.13,40,3.5,4.222222222,3.777777778,5.555555556,2,35,4.666666667,33,12,14,7,phone,4.169014085,3.394366197,3.985915493,1.686,210053111,prolific,2,4,1,NA,1.738,1.702,neutral,0,0,1,no_resubmission,male,White/Caucasian,United Kingdom,33,7,female,2,no,86826.34731,110,60.92,53,4.25,2.222222222,6,4.888888889,6,35,2.833333333,29,10,10,9,phone,4.394736842,5.171052632,4.078947368,1.72,0,7
4030623523,prolific,3,1,1,7171438335,4,1.475,1.456,neutral,0,0,1,no_resubmission,female,White/Caucasian,Poland,32,3,male,2,no,1334.044824,1412,43.85,19,3.625,2.888888889,4.333333333,5.333333333,5,40,2.666666667,57,25,16,16,phone,4,2.368421053,4.078947368,1.4655,7171438335,prolific,2,2,1,NA,NA,NA,not_neutral,0,1,0,no_resubmission,male,White/Caucasian,Poland,27,3,male,2,no,1600.853789,1412,43.85,37,6.25,4.555555556,5.333333333,4.777777778,4,41,3.5,50,23,15,12,phone,NA,NA,NA,NA,1,3
4046352717,prolific,2,2,1,4290859107,4,1.64,1.614,neutral,0,0,1,had_resubmission,female,South East Asian,Phillipines,41,5,male,1,no,NA,4130,44.87,50,3.625,2.777777778,4.444444444,4.888888889,2,18,1,25,10,9,6,phone,4.078947368,3.605263158,3.052631579,1.627,4290859107,prolific,3,1,1,3,1.901,1.915,neutral,0,0,1,had_resubmission,male,Black/African_American,United States,48,5,male,1,no,60000,8332,25.95,50,3.75,3.111111111,5,5.111111111,4,18,1.5,25,10,9,6,phone,4.891891892,6.108108108,3.243243243,1.908,1,5
4376551449,prolific,3,2,1,4006363306,NA,NA,NA,not_neutral,0,1,1,no_resubmission,female,South East Asian,Australia,33,1,male,1,no,56553.55955,3257,57.25,53,5.375,2.777777778,5.333333333,4.888888889,1,40,2.416666667,47,19,12,16,phone,3.492957746,2.225352113,4.014084507,NA,4006363306,prolific,2,4,1,NA,1.855,1.796,neutral,0,0,1,no_resubmission,male,South East Asian,Australia,32,2,male,1,no,NA,3323,56.35,43,5.25,4.444444444,4.666666667,5.666666667,5,45,1.666666667,43,16,14,13,phone,3.223684211,4.907894737,2.263157895,1.8255,1,2
4412052933,school,NA,NA,1,6919223018,NA,1.73,1.711,neutral,0,0,1,no_resubmission,female,White/Caucasian,United States,31,7,female,2,no,55000,2412,75.5,57,2.375,1.888888889,5.222222222,4.222222222,5,32,2.166666667,29,11,9,9,phone,4.23943662,3.042253521,3.915492958,1.7205,6919223018,school,NA,NA,1,NA,1.661,1.571,neutral,0,0,1,no_resubmission,male,White/Caucasian,United States,33,7,female,2,no,45000,8342,24.45,13,1.5,1.222222222,3,7,1,18,1.416666667,27,10,11,6,phone,4.644736842,5.960526316,2.526315789,1.616,0,7
4414035729,prolific,2,2,1,8944914493,2,1.66,1.667,neutral,0,0,1,no_resubmission,female,White/Caucasian,United Kingdom,37,3,male,2,no,87574.8503,1345,65.01,60,3.25,3.222222222,5.111111111,6.444444444,4,29,2.416666667,30,11,10,9,phone,4.297297297,2.351351351,3.972972973,1.6635,8944914493,prolific,3,1,1,3,1.653,1.659,neutral,0,0,1,no_resubmission,male,White/Caucasian,United Kingdom,35,3,male,2,no,73353.29341,1345,65.01,65,5.25,4.444444444,5.555555556,5.888888889,7,44,5.416666667,45,17,13,15,phone,5.027027027,6.027027027,3.756756757,1.656,1,3
4546864109,prolific,3,1,1,6543141671,4,1.6,1.578,neutral,0,0,1,no_resubmission,female,White/Caucasian,United Kingdom,35,3,male,2,no,16467.06587,5230,30.9,42,2.875,3.555555556,4.888888889,5,0,26,1.75,29,10,11,8,phone,3.947368421,3.131578947,2.921052632,1.589,6543141671,prolific,2,2,1,1,1.754,1.765,neutral,0,0,1,no_resubmission,male,White/Caucasian,United Kingdom,37,3,male,2,no,44910.17964,5412,51.5,50,4.25,2.222222222,4,5.222222222,5,43,4.166666667,29,10,11,8,phone,3.35,5.325,2.4,1.7595,1,3
4647638259,prolific,2,2,1,2597206183,2,1.48,1.457,not_neutral,0,0,1,no_resubmission,female,African,South Africa,34,7,female,2,no,64571.67456,3142,58.05,48,1.5,1.222222222,3.777777778,6.777777778,1,28,1.916666667,32,12,10,10,phone,2.945945946,3.216216216,2.540540541,1.4685,2597206183,prolific,3,1,1,3,1.961,1.921,neutral,0,0,1,no_resubmission,male,African,South Africa,34,7,female,2,no,70311.37896,1120,70.34,60,1.75,2.111111111,6.555555556,5.555555556,7,23,2.083333333,30,13,11,6,computer,4.648648649,5.891891892,3.351351351,1.941,0,7
